objid,specobjid,Group,RA,Dec,M_r,Lum,z,dist2BGG,lgm,sfr,sSFR,rank_dist,rank_M,RA_BGG,Dec_BGG,M_BGG
1237664093977182234,2182113373162858496,42,139.192484217,30.910911111,-20.096434,8139047817.489975,0.024110809,1.0145488106050944,10.1118,-2.083404,-12.195204,2,4,139.174411627,30.915418002,-22.317682
1237661383844233271,1792588832508504064,46,140.543091777,33.848554343,-22.129804,52956783626.18142,0.024123707,0.0,11.03287,-1.433601,-12.466471,1,1,140.543091777,33.848554343,-22.129804
1237664870823166177,1793644913443760128,46,140.538117967,33.900857459,-19.973168,7265528321.163891,0.024401573,3.296528787089245,10.11911,-1.869061,-11.988171,3,2,140.543091777,33.848554343,-22.129804
1237664870823166195,1793642714420504576,46,140.560959248,33.937658762,-19.35595,4115096272.804796,0.020958345,5.675621974414661,9.335084,-0.4535278,-9.7886118,4,3,140.543091777,33.848554343,-22.129804
1237661383844233485,1792587183241062400,46,140.51234482,33.864382377,-19.264897,3784066848.942967,0.024911228,1.8875506787640683,9.39079,-0.5629868,-9.9537768,2,4,140.543091777,33.848554343,-22.129804
1237664879949906003,2183255216156076032,52,141.970101969,29.985751394,-22.51063,75205915084.44658,0.027544551,0.0,11.26873,-1.217835,-12.486565,1,1,141.970101969,29.985751394,-22.51063
1237664879949906001,2183242022016542720,52,142.003854161,30.036966661,-21.014782,18963251285.46024,0.02754628,3.705063737648762,10.52723,-1.468659,-11.995889,4,2,141.970101969,29.985751394,-22.51063
1237664837006852244,2183259889080494080,52,142.01703994,29.991434985,-20.695075,14126351226.2975,0.028559419,2.579217213887211,10.09972,0.1936986,-9.9060214,3,3,141.970101969,29.985751394,-22.51063
1237664879949906004,2183245045673519104,52,141.990439282,30.011032706,-19.951564,7122387530.025981,0.025651397,1.935954826713179,10.06748,-1.358868,-11.426348,2,4,141.970101969,29.985751394,-22.51063
1237661382235652124,1794706217059248128,61,146.313377495,34.712283344,-21.900089,42858365082.915306,0.04172448,0.0,11.04974,1.272618,-9.777122,1,1,146.313377495,34.712283344,-21.900089
1237661382235652235,1795881869984688128,61,146.341731541,34.70302099,-20.062687,7889959973.522681,0.041756884,1.575938277277113,10.28243,-1.894711,-12.177141,2,2,146.313377495,34.712283344,-21.900089
1237661382235652234,2189975706069395456,61,146.344435575,34.701477385,-19.802919,6211086820.627455,0.0409836,1.741991412995682,10.09958,-1.842468,-11.942048,3,3,146.313377495,34.712283344,-21.900089
1237661382235652236,1794704292913899520,61,146.342201979,34.694453201,-19.701835,5658925806.635507,0.041354118,1.863319545545246,10.02217,-1.900081,-11.922251,4,4,146.313377495,34.712283344,-21.900089
1237661381699174422,2190022710191482880,63,147.467155964,34.714119475,-23.270799,151467549747.76385,0.039612044,0.0,11.46481,-0.9813917,-12.4462017,1,1,147.467155964,34.714119475,-23.270799
1237661381699108952,2190019686534506496,63,147.398931155,34.733102997,-21.333269,25427730509.30704,0.039922336,3.7196965481473465,10.8073,-1.309099,-12.116399,2,2,147.467155964,34.714119475,-23.270799
1237661381699108923,6528215156123168768,63,147.379087491,34.634083049,-21.311142,24914765275.814396,0.040217334,6.782228651421228,,,,4,3,147.467155964,34.714119475,-23.270799
1237661381699108924,2190021060924041216,63,147.380734681,34.638776826,-20.55465,12412521106.868149,0.039664127,6.507752583889473,10.21994,-0.0159587,-10.2358987,3,4,147.467155964,34.714119475,-23.270799
1237664336632741928,2194381449933645824,73,151.021883971,31.185462997,-22.475486,72810564810.50262,0.021581224,0.0,11.06783,-1.578316,-12.646146000000002,1,1,151.021883971,31.185462997,-22.475486
1237664336632741895,2194379800666204160,73,150.917619879,31.161773628,-20.201894,8969280374.074776,0.021819562,5.79940606450284,10.20023,-1.76305,-11.96328,2,2,151.021883971,31.185462997,-22.475486
1237665099004051581,2198971909721319424,73,151.106052367,31.034472987,-19.708248,5692449676.897648,0.02265177,10.512101674937323,9.80046,-0.3950654,-10.1955254,4,3,151.021883971,31.185462997,-22.475486
1237664869753487485,2194379525788297216,73,151.015588161,31.043020337,-19.609515,5197637654.105481,0.023139618,8.956341671606546,9.497967,-0.2812656,-9.779232599999998,3,4,151.021883971,31.185462997,-22.475486
1237671260670525453,2913873559157762048,80,153.503134728,14.499680194,-22.371755,66176226622.65028,0.03098687,0.0,11.12167,-1.460874,-12.582544,1,1,153.503134728,14.499680194,-22.371755
1237671123231768624,2913894175000782848,80,153.545897171,14.380684413,-21.889761,42452610394.52018,0.03088647,7.916541368430618,10.94013,-1.436003,-12.376133,4,2,153.503134728,14.499680194,-22.371755
1237671260670525479,2913875758181017600,80,153.515598216,14.524197199,-21.348008,25775268618.20347,0.030003054,1.7168948096890253,10.6821,-1.553513,-12.235613,2,3,153.503134728,14.499680194,-22.371755
1237671260670525478,6006794851143315456,80,153.509057005,14.533625118,-20.866391,16540795791.903706,0.030594581,2.1630293468212547,,,,3,4,153.503134728,14.499680194,-22.371755
1237664670045765663,1606717491445262336,82,154.492423795,37.18157765,-22.399567,67893281495.84278,0.045040485,0.0,11.14766,-0.977784,-12.125444,1,1,154.492423795,37.18157765,-22.399567
1237661136886366310,1606719415590610944,82,154.502379653,37.206864762,-20.59323,12861511192.38544,0.045599583,1.6651445858537035,10.06689,0.1685325,-9.8983575,3,2,154.492423795,37.18157765,-22.399567
1237661381701861554,1606716666811541504,82,154.524162394,37.179694042,-20.168493,8697555325.637873,0.046224363,1.5932451399341676,10.16911,-1.438187,-11.607297,2,3,154.492423795,37.18157765,-22.399567
1237661381701861576,1606715842177820672,82,154.43563862,37.12230349,-19.57092,5016120952.664719,0.045028617,4.685875400233404,9.576148,-0.3123668,-9.8885148,4,4,154.492423795,37.18157765,-22.399567
1237671125379842213,2915011828570417152,84,154.727076611,16.155514838,-22.063171,49804478845.83275,0.029707897,0.0,11.08672,-1.045819,-12.132539,1,1,154.727076611,16.155514838,-22.063171
1237671125379907676,2915012378326231040,84,154.790352825,16.111794147,-21.070216,19956592986.29327,0.030036813,4.704512263769729,10.5799,-0.3162664,-10.8961664,4,2,154.727076611,16.155514838,-22.063171
1237671125379842214,2916178960180078592,84,154.742254064,16.157826169,-19.645014,5370387211.587878,0.029465989,0.9274046129967118,9.934071,-0.4050798,-10.3391508,2,3,154.727076611,16.155514838,-22.063171
1237671125379842189,2914000002994956288,84,154.694734826,16.148855392,-19.567097,4998489682.410611,0.030579443,1.9962250165528552,9.890475,-0.5940718,-10.4845468,3,4,154.727076611,16.155514838,-22.063171
1237667536399761464,2675231150640752640,99,157.584321087,21.221097068,-22.62959,83914304616.49171,0.04339918,0.0,11.236,-1.247368,-12.483368,1,1,157.584321087,21.221097068,-22.62959
1237667536399761571,2675229226495404032,99,157.557948517,21.219908386,-20.90294,17107084477.446352,0.043760583,1.5464854706466016,10.69086,-1.836296,-12.527156000000002,2,2,157.584321087,21.221097068,-22.62959
1237667783897383104,2674179742646691840,99,157.602891312,21.161201667,-20.063188,7893601541.402632,0.043752223,3.9174292015994863,10.09201,-1.424306,-11.516316,4,3,157.584321087,21.221097068,-22.62959
1237667783897383027,2674181117036226560,99,157.555698987,21.181741402,-19.755824,5947433571.726869,0.042515835,2.98761822109012,9.598251,-0.175917,-9.774168,3,4,157.584321087,21.221097068,-22.62959
1237654398613913710,869212634992371712,101,158.560057062,61.640479844,-22.18338,55635500584.71171,0.031583981,0.0,11.07611,-1.113845,-12.189955,1,1,158.560057062,61.640479844,-22.18338
1237654398613913657,869212360114464768,101,158.541230712,61.607741589,-21.3013,24689938036.54724,0.030266671,2.132442614002218,10.66817,-1.393426,-12.061596,4,2,158.560057062,61.640479844,-22.18338
1237654398613913659,7982663436583235584,101,158.512632008,61.622060679,-20.055727,7839543964.535926,0.031841168,1.8286494502475932,,,,3,3,158.560057062,61.640479844,-22.18338
1237654398613913661,869224729620277248,101,158.514055359,61.626250142,-20.012424,7533028317.544825,0.031054983,1.6386556600253663,10.09317,-0.4923118,-10.5854818,2,4,158.560057062,61.640479844,-22.18338
1237648721221910580,308562027511572480,106,159.835214457,-0.200241889,-22.122781,52615342283.49367,0.019912633,0.0,10.88227,-1.208631,-12.090901,1,1,159.835214457,-0.200241889,-22.122781
1237654669739884742,308558728976689152,106,159.799131333,-0.409472329,-20.979652,18359497906.8975,0.01997593,13.340392186578423,10.40413,-1.227447,-11.631577,4,2,159.835214457,-0.200241889,-22.122781
1237654669739884626,308548008738318336,106,159.851599952,-0.389285818,-19.947538,7096026031.184947,0.019768186,11.922513274967912,9.24446,-0.02911274,-9.27357274,3,3,159.835214457,-0.200241889,-22.122781
1237654669739950159,308549108249946112,106,159.89377895,-0.253018593,-19.311156,3948775104.800068,0.020029227,4.9534165616882975,9.123651,-0.3960386,-9.5196896,2,4,159.835214457,-0.200241889,-22.122781
1237648721759961111,310869352595351552,112,162.495232384,0.322301336,-22.78591,96908974979.97496,0.040214827,0.0,11.34712,-1.057247,-12.404367,1,1,162.495232384,0.322301336,-22.78591
1237648721759961363,309787158292490240,112,162.497479161,0.353258599,-21.469013,28814109350.41261,0.038863702,1.9502180927124688,10.81194,-0.55961,-11.37155,2,2,162.495232384,0.322301336,-22.78591
1237648721759961197,310868253083723776,112,162.525717889,0.333248802,-20.724521,14514711230.992395,0.041545466,2.035192107968118,10.52482,-1.606087,-12.130907,3,3,162.495232384,0.322301336,-22.78591
1237648721759961421,309796229263419392,112,162.547897173,0.306910955,-20.108694,8231473796.082398,0.041709789,3.447379536261919,10.23428,-1.404288,-11.638568,4,4,162.495232384,0.322301336,-22.78591
1237654028714901544,572023712824453120,116,164.611091103,1.382912157,-22.171547,55032443958.22341,0.04205802,0.0,11.14702,-1.303716,-12.450736,1,1,164.611091103,1.382912157,-22.171547
1237654028714967066,572024262580267008,116,164.661710163,1.381864443,-21.126438,21017216598.920628,0.042342746,3.180245065605663,10.66508,-1.268326,-11.933406,3,2,164.611091103,1.382912157,-22.171547
1237654028714967051,572026736481429504,116,164.653489057,1.410264177,-20.661178,13692135867.336468,0.041817808,3.1695239496126786,10.46706,-1.598596,-12.065656,2,3,164.611091103,1.382912157,-22.171547
1237654028714967052,5327804083670282240,116,164.654012601,1.421438681,-20.626979,13267576487.079603,0.039220121,3.623303750030279,,,,4,4,164.611091103,1.382912157,-22.171547
1237654602106732592,653148704412297216,117,164.810996573,5.292032395,-22.263849,59915556854.52222,0.036521896,0.0,11.07583,-1.235343,-12.311173,1,1,164.810996573,5.292032395,-22.263849
1237654602106732681,653150078801831936,117,164.789326004,5.27572723,-20.406317,10827465285.750118,0.037451036,1.6993540369565256,10.26464,-1.445339,-11.709979,2,3,164.810996573,5.292032395,-22.263849
1237654602106732699,653151178313459712,117,164.815078262,5.191542767,-20.408571,10849966568.122374,0.035749413,6.3191124071477365,10.22885,-1.658392,-11.887242,4,2,164.810996573,5.292032395,-22.263849
1237654602106732720,653154476848343040,117,164.844605617,5.281921434,-19.829594,6365574422.22349,0.038287138,2.1966079623585673,9.889784,-0.2837529,-10.1735369,3,4,164.810996573,5.292032395,-22.263849
1237654604791545887,653029682278590464,121,166.17462696,4.297345904,-21.996695,46846591754.08911,0.026316276,0.0,10.94604,-1.518429,-12.464469,1,1,166.17462696,4.297345904,-21.996695
1237654604791545959,654219903414331392,121,166.246364234,4.2911475,-21.185886,22200072870.48098,0.026628218,4.511573271173066,10.47624,0.6422124,-9.8340276,4,2,166.17462696,4.297345904,-21.996695
1237654604791545888,654231448286423040,121,166.189452742,4.298692718,-20.887749,16869398595.575727,0.02643546,0.9327581914735694,10.36794,0.07980536,-10.28813464,2,3,166.17462696,4.297345904,-21.996695
1237654604791546018,653028307889055744,121,166.206506214,4.276691308,-19.436089,4430325138.861591,0.026100317,2.381998699521912,9.893738,-1.29921,-11.192948,3,4,166.17462696,4.297345904,-21.996695
1237664819818987529,2285638167367280640,128,167.481121312,36.94649092,-21.828906,40138616580.98091,0.031113712,0.0,10.76637,-0.09757546,-10.86394546,1,1,167.481121312,36.94649092,-21.828906
1237664819818987565,2285640641268443136,128,167.55521081,36.966540276,-21.544035,30875500048.358353,0.029669378,3.927432493956558,10.73842,-1.75035,-12.48877,4,2,167.481121312,36.94649092,-21.828906
1237664819818987566,5208416362330517504,128,167.551059397,36.964763431,-21.498461,29606318029.735756,0.030717285,3.694443655976725,,,,3,3,167.481121312,36.94649092,-21.828906
1237664819818987690,2285641191024257024,128,167.467823009,37.001940524,-21.171497,21907801638.071857,0.030690424,3.5473742505975117,10.39088,-0.2873294,-10.6782094,2,4,167.481121312,36.94649092,-21.828906
1237667431715766291,2492841963204667392,131,168.013928628,27.589778419,-22.88358,106030790683.01562,0.036009084,0.0,11.29346,-1.116188,-12.409648,1,1,168.013928628,27.589778419,-22.88358
1237667431715766292,2491640471839860736,131,168.016536801,27.566825063,-21.053956,19659949593.40608,0.037412289,1.449498451857831,10.68693,-1.579226,-12.266156,3,2,168.013928628,27.589778419,-22.88358
1237667431715766293,2491641021595674624,131,168.034602089,27.571036361,-21.02406,19125993330.689445,0.034275225,1.6469137357547383,10.67525,-1.679997,-12.355247,4,3,168.013928628,27.589778419,-22.88358
1237667431715766294,2492842512960481280,131,168.033622581,27.575933301,-19.947001,7092517238.005329,0.035641912,1.399874224489008,10.15139,-1.967847,-12.119236999999998,2,4,168.013928628,27.589778419,-22.88358
1237662223525871655,2293611275046905856,142,171.069765723,38.015436737,-22.029403,48279326163.27386,0.036453983,0.0,11.0522,-1.575914,-12.628114,1,1,171.069765723,38.015436737,-22.029403
1237662223525871715,2293617872116672512,142,171.094569103,37.9966752,-20.549921,12358575070.93452,0.036408326,1.7022123049540356,10.49055,-2.036535,-12.527085,2,2,171.069765723,38.015436737,-22.029403
1237662223525806268,2293608526267836416,142,171.032298553,37.965074132,-20.017474,7568147714.477015,0.036237967,3.668175834822573,9.781722,-0.2379265,-10.0196485,3,3,171.069765723,38.015436737,-22.029403
1237662223525806252,2293609076023650304,142,171.003350883,37.959123202,-19.789352,6133958028.439656,0.036872435,4.830776458083972,10.06968,-1.688842,-11.758522,4,4,171.069765723,38.015436737,-22.029403
1237664337177477186,5199445995926777856,147,171.890929976,36.060982228,-22.285636,61130000592.61811,0.035518344,0.0,,,,1,1,171.890929976,36.060982228,-22.285636
1237664337177477185,2379141460306978816,147,171.88706134,36.071329673,-21.725017,36475965813.392555,0.035327794,0.6791910481037277,10.73972,-1.175663,-11.915383,2,2,171.890929976,36.060982228,-22.285636
1237664337177542740,2379138986405816320,147,171.941829501,36.099397544,-20.587128,12789430316.566011,0.035172691,3.536468813567498,10.03356,0.1329546,-9.9006054,3,3,171.890929976,36.060982228,-22.285636
1237664337177542775,2379138161772095488,147,171.961873802,36.097663564,-19.987244,7360335315.780616,0.035621676,4.2767444376956485,10.14146,-1.656106,-11.797566,4,4,171.890929976,36.060982228,-22.285636
1237657628452388926,990871947204126720,154,173.750076931,51.217992014,-22.37362,66289997097.19535,0.027616057,0.0,11.10226,-0.9420887,-12.0443487,1,1,173.750076931,51.217992014,-22.37362
1237657628452389042,990873871349475328,154,173.806874631,51.161938832,-20.911427,17241331415.17007,0.027166149,4.172117354718922,10.55819,-1.17077,-11.72896,4,2,173.750076931,51.217992014,-22.37362
1237657628452389069,990872496959940608,154,173.815140307,51.203793553,-20.420391,10968731357.048067,0.025304727,2.711919289729194,10.35082,-1.721276,-12.072096,3,3,173.750076931,51.217992014,-22.37362
1237657628452389021,990871672326219776,154,173.78630376,51.240227813,-19.69342,5615235822.466217,0.027567081,1.9959016771944744,9.952991,-0.3557051,-10.3086961,2,4,173.750076931,51.217992014,-22.37362
1237661811196624933,1809347040543533056,158,174.533366492,11.196374987,-22.050321,49218502962.45381,0.036883403,0.0,10.55154,0.5725314,-9.979008599999998,1,1,174.533366492,11.196374987,-22.050321
1237661811196625002,1809345666153998336,158,174.531532101,11.233125765,-20.516438,11983266007.490437,0.036676527,2.311885539913294,10.12929,0.05747603,-10.07181397,2,2,174.533366492,11.196374987,-22.050321
1237661811196559464,1809356111514462208,158,174.44187394,11.228098912,-20.149264,8544872757.792625,0.036709879,5.980854568648472,10.11798,-1.179723,-11.297702999999998,4,3,174.533366492,11.196374987,-22.050321
1237661948639445082,1809346490787719168,158,174.514663965,11.263929129,-19.691648,5606078826.017057,0.036848355,4.3982656291956195,9.965645,-0.3689469,-10.3345919,3,4,174.533366492,11.196374987,-22.050321
1237665126930055238,2361073186113611776,165,176.058210937,33.514508725,-22.934429,111114720968.04568,0.032671117,0.0,11.34673,-1.245696,-12.592426,1,1,176.058210937,33.514508725,-22.934429
1237665126930055405,2361074010747332608,165,176.013974701,33.535063144,-21.130519,21096363502.789818,0.032030528,2.6526854182033284,10.72958,-1.5512,-12.28078,3,2,176.058210937,33.514508725,-22.934429
1237665126930055448,2361076209770588160,165,176.038755981,33.482270233,-20.994316,18609144148.885246,0.032400578,2.2676317389291474,10.52691,-1.76565,-12.292560000000002,2,3,176.058210937,33.514508725,-22.934429
1237665126930055406,5231019297321185280,165,176.01803787,33.542761289,-20.484993,11641185240.36809,0.032779849,2.752937334746296,,,,4,4,176.058210937,33.514508725,-22.934429
1237665370120847454,2361075385136867328,167,176.1074037,33.35507716,-22.419369,69142901461.38618,0.031989543,0.0,11.12404,-1.55246,-12.6765,1,1,176.1074037,33.35507716,-22.419369
1237665370120847399,2361062465875240960,167,176.187048189,33.320957482,-21.418979,27516399108.597534,0.031991918,4.698341239352329,10.48595,-0.5534245,-11.0393745,4,2,176.1074037,33.35507716,-22.419369
1237665370120782013,2361072911235704832,167,176.071364662,33.351379198,-20.807041,15660888588.36358,0.033145,1.9056637989879357,10.1497,0.1132723,-10.0364277,3,3,176.1074037,33.35507716,-22.419369
1237665370120847519,2361077034404308992,167,176.133527643,33.367624766,-20.331865,10109879983.011978,0.033401318,1.5814672468670978,10.24132,-1.722759,-11.964079,2,4,176.1074037,33.35507716,-22.419369
1237658312939798567,1073141805979035648,173,179.04299365,60.522524294,-23.289736,154132562945.27612,0.033635215,0.0,11.21403,0.7346412,-10.4793888,1,1,179.04299365,60.522524294,-23.289736
1237655108913594378,1074202834599176192,173,179.113529731,60.418207264,-21.543176,30851081994.057327,0.03298466,6.908838839280879,10.93887,-0.9480965,-11.8869665,4,2,179.04299365,60.522524294,-23.289736
1237658312939798811,1073142080856942592,173,178.973717824,60.529409535,-20.906373,17161261142.08328,0.033375824,2.184925346951533,10.3846,0.1970965,-10.1875035,2,3,179.04299365,60.522524294,-23.289736
1237655108913594468,1074202284843362304,173,179.156232314,60.489425716,-20.220142,9121301261.659103,0.032708787,4.0737627926518405,10.26546,-0.8759763,-11.1414363,3,4,179.04299365,60.522524294,-23.289736
1237648722841043066,320981561388328960,175,179.274744468,1.125520071,-21.834747,40355134582.56312,0.040743867,0.0,11.07703,-0.2493058,-11.3263358,1,1,179.274744468,1.125520071,-21.834747
1237648722841042953,320969741638330368,175,179.23753974,1.11586538,-21.155391,21585216053.01247,0.040517472,2.4146366463909223,10.41704,0.4585905,-9.9584495,2,2,179.274744468,1.125520071,-21.834747
1237648722840977489,320971665783678976,175,179.225933897,1.099266797,-19.892806,6747181610.513178,0.040634543,3.481819221402454,9.788215,-0.1778816,-9.966096599999998,4,3,179.274744468,1.125520071,-21.834747
1237648722841043030,320970016516237312,175,179.242700953,1.148015006,-19.147988,3397779564.415753,0.040271532,2.459612105301797,9.325481,-0.5592751,-9.8847561,3,4,179.274744468,1.125520071,-21.834747
1237667733971337221,2978087792082446336,188,183.326072262,21.634290799,-22.152063,54053671751.97731,0.025393122,0.0,11.0393,-1.268257,-12.307557,1,1,183.326072262,21.634290799,-22.152063
1237667781760319536,2978087517204539392,188,183.353211386,21.668942414,-20.145199,8512940539.93283,0.026455573,2.692988282163817,10.28206,-2.056398,-12.338458,3,2,183.326072262,21.634290799,-22.152063
1237667781760319656,2976895642120513536,188,183.324202647,21.654360126,-19.628557,5289599611.57119,0.024941282,1.265711465178205,9.626383,-0.3642487,-9.9906317,2,4,183.326072262,21.634290799,-22.152063
1237667781760319651,2978085318181283840,188,183.317006847,21.697054256,-19.767762,6013188247.744654,0.0261736,3.978914494335795,9.936863,-1.636768,-11.573631,4,3,183.326072262,21.634290799,-22.152063
1237657591934025821,1147417394814150656,197,185.006272145,56.162916283,-21.879501,42053330854.3355,0.034438523,0.0,10.92494,-1.444156,-12.369096,1,1,185.006272145,56.162916283,-21.879501
1237657591934025805,1147416845058336768,197,185.003682927,56.117838972,-20.864451,16511266987.185469,0.034697482,2.8337410141280417,10.20167,-0.04362218,-10.24529218,3,2,185.006272145,56.162916283,-21.879501
1237657591934025877,1147436636267636736,197,185.143158877,56.131968186,-19.60988,5199385276.279837,0.034696108,5.170730881083804,9.790443,-0.2876882,-10.0781312,4,3,185.006272145,56.162916283,-21.879501
1237657591934025822,1480591959427934208,197,185.015241118,56.154485006,-19.295424,3891971039.6365128,0.034030274,0.6157334778511256,9.866722,-2.178504,-12.045226,2,4,185.006272145,56.162916283,-21.879501
1237657858222391375,7522381476890603520,204,187.131419886,53.596008054,-22.347527,64715870903.883835,0.03688905,0.0,,,,1,1,187.131419886,53.596008054,-22.347527
1237657858222456920,995443166914045952,204,187.134800748,53.604210771,-20.529786,12131497135.324833,0.037683249,0.5305838572346503,10.37391,-1.851181,-12.225091,2,2,187.131419886,53.596008054,-22.347527
1237657858222456990,995443716669859840,204,187.176380273,53.67493441,-20.445667,11227079553.34343,0.036981081,5.234317383858363,9.941386,0.007484436,-9.933901564,4,3,187.131419886,53.596008054,-22.347527
1237657858222391531,995442342280325120,204,187.088674852,53.624820442,-19.791243,6144650700.902838,0.035911751,2.4116757843201087,9.54019,-0.1056689,-9.6458589,3,4,187.131419886,53.596008054,-22.347527
1237657627919319142,995307377228015616,206,187.741751381,51.344149479,-21.881204,42119344143.52319,0.044652618,0.0,11.02117,-1.238261,-12.259431,1,1,187.741751381,51.344149479,-21.881204
1237657627919319141,1093404159920596992,206,187.726515573,51.341291353,-21.643956,33851849390.6949,0.044653091,0.6243670050324608,10.77621,0.3505617,-10.4256483,2,2,187.741751381,51.344149479,-21.881204
1237657627919384583,995307102350108672,206,187.751543246,51.359177982,-20.947436,17822737061.27836,0.043070434,1.019453352312072,10.52393,-1.267411,-11.791341,3,3,187.741751381,51.344149479,-21.881204
1237657627919319144,995309576251271168,206,187.714582107,51.33943525,-19.389491,4244205462.630648,0.04574445,1.106750514309304,9.692472,-0.1962133,-9.8886853,4,4,187.741751381,51.344149479,-21.881204
